P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10000040,1,2,3,2,2,3,2,1,3,2,1,2,2,3,3,10010
10000060,2,1,1,1,1,1,3,1,3,3,1,7,4,1,3,100000
10000140,3,3,1,1,1,1,2,1,3,2,1,7,3,1,1,10010
10000160,2,3,1,2,1,1,1,1,2,3,2,5,3,1,3,10010
10000240,3,2,2,3,1,1,2,2,1,2,1,4,2,5,3,10010
10000250,3,2,2,2,2,2,2,1,2,2,1,6,3,1,3,100000
10000420,2,1,1,1,1,1,1,1,2,1,1,5,3,1,3,10010
10000460,2,1,1,1,1,1,1,1,3,3,1,7,4,5,3,10010
10000500,2,1,1,1,1,1,1,1,2,1,1,1,4,1,3,100000
10000550,1,3,1,3,1,1,3,77,2,2,1,8,3,1,3,10010
10000560,1,2,1,2,2,2,1,1,2,2,2,2,2,1,1,10010
10000640,2,2,1,2,1,1,3,1,2,2,1,4,1,5,3,100000
10000680,3,2,1,3,1,1,2,1,2,2,1,1,2,5,3,10010
10000770,2,1,1,1,1,1,1,1,2,1,1,6,3,1,3,100000
10000840,2,1,1,1,1,1,3,2,2,2,1,7,4,5,3,10010
10000960,1,2,1,2,2,3,2,2,3,2,1,2,2,2,2,10010
10001200,2,3,1,2,3,3,1,1,3,3,4,1,3,3,3,10010
10001220,3,1,1,3,1,1,1,3,3,3,2,1,1,1,3,100000
10001300,1,2,1,2,1,1,1,77,2,3,1,4,2,1,3,100000
10001450,1,3,3,2,1,1,3,2,2,2,1,1,2,5,3,10010
10001530,4,3,1,1,3,1,1,1,2,2,5,4,3,1,1,10010
10001660,3,2,1,2,1,1,2,3,2,1,1,2,2,3,1,100000
10001680,1,2,1,2,3,3,3,77,3,2,1,8,2,5,3,10010
10001750,3,2,1,1,1,3,1,1,2,3,1,3,2,1,3,100000
10001770,3,3,3,2,1,1,3,2,3,1,5,2,1,1,2,20000
10001780,2,2,1,1,3,1,3,1,2,2,1,5,3,1,1,10010
10001810,2,2,1,1,1,1,2,1,2,2,1,8,4,1,3,10010
10001890,2,3,1,2,3,3,1,77,3,2,4,1,2,4,3,10010
10001940,3,1,2,2,3,1,2,3,3,2,1,1,2,1,2,10010
10001980,4,1,1,3,3,1,2,77,2,3,1,4,2,1,3,100000
10002040,2,3,1,1,1,1,1,1,2,1,1,4,2,4,3,10010
10002130,3,3,1,3,3,1,1,3,3,1,2,5,2,1,1,100000
10002220,1,2,1,2,2,1,1,77,1,3,1,1,2,4,2,10010
10002360,4,2,1,3,3,1,2,1,2,2,4,4,1,5,2,10010
10002530,3,2,1,2,3,1,3,3,2,2,1,2,2,3,3,10010
10002560,2,3,1,3,3,1,1,1,3,2,1,1,1,3,1,10010
10002760,4,2,1,2,3,3,1,2,3,3,2,5,3,5,3,100000
10002780,3,2,2,2,2,1,3,1,2,2,1,8,4,5,3,10010
10002870,4,1,1,1,1,1,1,1,2,3,1,8,3,2,1,50000
10003010,3,3,1,1,1,1,3,1,2,1,1,8,3,1,3,10010
10003080,2,1,1,1,3,1,1,1,2,3,1,8,4,1,1,100000
10003190,1,2,3,2,2,1,3,2,3,3,1,1,1,3,3,20000
10003230,2,2,1,2,2,1,1,1,3,2,1,1,2,4,3,10010
10003270,4,1,1,1,1,1,1,1,2,3,1,4,4,1,3,100000
10003400,3,1,1,3,1,1,3,1,2,3,1,4,2,2,3,10010
10003740,1,2,3,2,3,3,2,2,2,3,1,6,3,5,3,100000
10003810,3,3,3,2,3,3,2,1,2,3,1,8,3,1,3,10010
10003830,1,2,1,2,3,3,2,2,2,2,1,6,2,1,3,10010
10003870,2,3,3,3,2,3,1,77,1,2,2,2,1,4,3,10010
10003950,1,2,3,3,3,3,2,2,3,1,1,8,2,1,3,100000
10004000,3,1,1,1,3,3,1,77,2,3,5,1,2,1,3,100000
10004050,1,2,3,2,2,2,1,77,3,2,1,2,1,5,1,10010
10004430,1,3,3,2,1,1,2,3,2,2,1,8,4,5,3,10010
10004690,2,1,1,3,3,1,1,2,3,3,2,1,2,5,3,10010
10004750,2,1,1,1,1,1,1,1,2,1,1,1,3,5,3,100000
10004770,2,3,1,3,1,1,2,77,2,2,1,8,4,2,2,50000
10004960,4,2,1,2,1,1,3,1,2,2,1,7,2,1,3,40001
10004980,3,1,1,1,1,1,3,1,2,3,1,8,4,1,3,10010
10004990,1,2,1,1,2,1,2,1,3,2,1,4,2,1,3,10010
10005100,2,1,1,1,1,1,3,1,1,3,1,7,3,5,3,10010
10005210,3,1,1,2,1,1,1,1,3,3,2,5,3,1,3,10010
10005250,2,1,1,1,1,1,1,1,2,1,1,2,1,5,2,100000
10005390,2,1,1,1,1,1,1,1,2,1,1,8,3,5,1,100000
10005400,3,3,3,1,1,1,3,2,3,1,1,8,4,1,3,10010
10005550,4,3,1,1,1,1,1,1,2,1,1,5,2,3,3,90010
10005620,1,1,1,1,1,1,1,1,2,3,3,5,2,1,1,10010
10005630,2,3,1,3,1,1,1,1,3,2,2,1,2,5,3,10010
10005740,3,2,1,1,1,1,1,1,2,1,1,5,3,5,3,100000
10005760,3,2,2,2,3,1,2,2,3,2,1,5,2,1,3,10010
10005810,1,2,2,2,2,2,1,1,2,2,4,1,1,5,3,10010
10005890,1,2,3,2,3,3,3,1,3,3,5,1,1,5,3,10010
10005940,2,1,1,1,1,1,1,1,3,3,1,5,3,5,2,100000
10006040,3,2,1,1,1,1,3,1,2,3,1,6,4,5,3,10010
10006070,4,2,1,2,1,1,3,2,3,2,1,5,2,1,3,100000
10006190,2,1,1,1,1,1,3,1,3,3,5,1,2,5,2,10010
10006210,3,3,3,3,1,1,1,1,2,3,1,8,4,1,3,10010
10006240,2,1,1,1,1,1,1,1,2,1,1,3,2,1,3,100000
10006310,2,3,1,1,3,3,2,1,2,3,1,8,3,1,3,10010
10006340,2,1,1,1,1,1,1,1,2,1,1,8,4,1,3,100000
10006350,1,2,1,1,1,1,2,2,2,3,1,8,4,1,3,10010
10006360,1,2,3,2,3,2,3,3,3,3,1,2,1,2,3,10010
10006370,2,3,1,1,1,1,1,1,2,2,1,1,2,3,3,10010
10006430,2,1,1,2,1,1,1,1,3,2,2,7,4,1,3,10010
10006530,1,2,2,2,2,1,2,2,2,2,1,8,3,2,3,10010
10006580,1,2,1,2,2,2,2,1,3,2,1,6,2,1,3,10010
10006590,1,2,1,1,3,3,1,1,2,3,1,4,3,4,3,10010
10006630,2,3,1,1,3,1,1,1,2,1,4,4,3,3,2,100000
10006740,3,1,1,1,1,1,1,77,3,3,1,5,2,3,3,10010
10006790,2,3,1,3,1,1,1,77,2,1,1,1,3,2,1,100000
10006800,3,1,1,1,1,1,1,1,2,3,1,4,4,3,3,10010
10006840,1,2,3,2,3,3,2,2,3,2,1,4,3,5,2,10010
10006850,2,1,1,1,1,1,3,77,2,3,5,2,1,5,3,100000
10006950,2,1,1,1,1,1,1,1,2,3,1,3,2,5,2,100000
10007000,3,3,3,3,3,3,1,77,3,3,1,2,1,4,1,100000
10007080,2,1,1,1,1,1,1,1,2,2,3,6,3,1,2,10010
10007090,2,1,1,1,1,1,1,1,2,3,1,2,4,5,3,10010
10007100,1,3,1,2,2,1,2,3,2,2,1,6,3,3,3,10010
10007130,2,3,1,3,3,1,2,1,1,2,1,4,2,1,3,10010
10007200,1,2,1,3,2,1,2,2,3,2,1,6,4,1,3,10010
10007300,3,1,1,1,1,1,1,77,2,2,1,1,1,4,3,10010
10007360,2,3,3,3,1,1,1,77,2,2,5,1,1,5,2,10010
10007470,2,1,1,1,3,1,1,1,2,1,1,8,1,5,3,100000
10007530,3,1,1,1,1,1,1,1,3,3,5,1,1,2,2,100000
10007740,3,2,3,2,3,1,1,2,2,2,1,6,3,5,3,10010
10007830,3,2,1,1,1,1,2,1,2,2,1,4,2,1,3,10010
10007840,2,3,3,3,1,1,3,1,2,2,1,5,3,5,3,10010
10008040,1,1,1,3,3,3,3,2,3,2,1,1,1,1,1,10010
10008140,4,1,1,1,1,1,1,1,2,3,1,1,1,1,3,90010
10008190,1,1,1,3,1,1,3,2,3,3,1,6,3,2,3,10010
